open_time;open;high;low;close;volume;close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;ignore;symbol;timestamp
1633564800000;3066.79000000;3131.45000000;2976.74000000;3075.3;36564.89190000;1633651199999;111942795.79835000;143205;18169.05380000;55623990.48604300;0;ETHEUR;2021-10-07
1633651200000;3075.56000000;3140.83000000;3035.15000000;3059.34;29782.01120000;1633737599999;92139061.61690200;116683;14739.12660000;45609146.93414100;0;ETHEUR;2021-10-08
1633737600000;3059.30000000;3121.17000000;3038.65000000;3075.95;15954.30200000;1633823999999;49215966.78819800;74801;7910.35150000;24398598.48500700;0;ETHEUR;2021-10-09
1633824000000;3075.48000000;3104.27000000;2947.47000000;2955.72;24400.39930000;1633910399999;74316806.31320600;89678;11924.72750000;36316377.90659300;0;ETHEUR;2021-10-10
1633910400000;2955.18000000;3134.89000000;2919.71000000;3070.6;26031.51760000;1633996799999;79786348.74821500;84755;12670.45290000;38833267.31276400;0;ETHEUR;2021-10-11
1633996800000;3070.28000000;3081.24000000;2954.97000000;3035.34;30073.99690000;1634083199999;90900807.87356800;94642;14704.54700000;44453893.54075600;0;ETHEUR;2021-10-12
1634083200000;3033.58000000;3116.64000000;2962.50000000;3109.98;22319.66130000;1634169599999;67593193.14044700;76887;11110.81260000;33665362.89726900;0;ETHEUR;2021-10-13
1634169600000;3110.60000000;3297.00000000;3092.13000000;3266.98;25461.88640000;1634255999999;81581488.28871800;92219;13553.22900000;43419703.33142700;0;ETHEUR;2021-10-14
1634256000000;3266.93000000;3360.00000000;3218.14000000;3328.4;28805.90430000;1634342399999;94585146.91769300;105651;14235.72430000;46731178.13263800;0;ETHEUR;2021-10-15
1634342400000;3327.40000000;3416.00000000;3272.51000000;3294.52;23484.84646000;1634428799999;78532556.46584410;81209;11605.17886000;38832125.10627910;0;ETHEUR;2021-10-16
1634428800000;3295.26000000;3370.30000000;3145.36000000;3313.93;28225.72420000;1634515199999;92522263.14208100;89365;13549.13170000;44424050.94452600;0;ETHEUR;2021-10-17
1634515200000;3314.35000000;3353.99000000;3173.82000000;3233.02;37398.09770000;1634601599999;121990196.04867800;135864;18092.72560000;59027635.39343600;0;ETHEUR;2021-10-18
1634601600000;3233.43000000;3341.19000000;3219.84000000;3333.12;32847.52530000;1634687999999;107525456.09229300;122324;16383.68890000;53626892.07927800;0;ETHEUR;2021-10-19
1634688000000;3333.32000000;3559.17000000;3290.00000000;3551.77;31870.44202000;1634774399999;109152488.32132440;137226;17258.83340000;59152087.74977130;0;ETHEUR;2021-10-20
1634774400000;3551.41000000;3748.63000000;3441.38000000;3483.91;53650.20862000;1634860799999;191616723.19277010;209998;26742.71196000;95578229.16450470;0;ETHEUR;2021-10-21
1634860800000;3484.55000000;3581.92000000;3350.00000000;3423.32;28671.86600000;1634947199999;99739018.04864800;131317;13704.00430000;47674475.68877800;0;ETHEUR;2021-10-22
1634947200000;3422.97000000;3593.87000000;3394.16000000;3590.63;22943.36590000;1635033599999;80009634.91450700;92350;11503.59670000;40116556.11822200;0;ETHEUR;2021-10-23
1635033600000;3590.99000000;3605.94000000;3412.30000000;3518.43;24938.67110000;1635119999999;87307837.99751200;105669;11786.10930000;41263489.91655700;0;ETHEUR;2021-10-24
1635120000000;3517.83000000;3653.11000000;3506.37000000;3639.79;20305.55430000;1635206399999;72692593.03820600;76838;10296.28170000;36864345.10212200;0;ETHEUR;2021-10-25
1635206400000;3640.50000000;3704.74000000;3543.52000000;3572.44;24484.14860000;1635292799999;88708040.22525200;93845;12204.51280000;44236237.15843400;0;ETHEUR;2021-10-26
1635292800000;3573.00000000;3720.00000000;3383.00000000;3394.5;49728.04870000;1635379199999;174680290.09458800;155993;24056.33370000;84530592.24468600;0;ETHEUR;2021-10-27
1635379200000;3394.95000000;3686.87000000;3367.19000000;3675.97;46462.05330000;1635465599999;165246593.24989100;148050;23376.62960000;83161496.30735000;0;ETHEUR;2021-10-28
1635465600000;3675.65000000;3846.30000000;3660.56000000;3816.72;38227.25997000;1635551999999;143368802.95456960;136555;20325.37481000;76220068.19815380;0;ETHEUR;2021-10-29
1635552000000;3816.81000000;3829.27000000;3680.00000000;3750.83;21745.23180000;1635638399999;81382479.41941900;82892;10469.57590000;39188786.69486400;0;ETHEUR;2021-10-30
1635638400000;3751.50000000;3811.70000000;3615.29000000;3722.79;28512.45410000;1635724799999;105695753.15488300;98606;13671.92780000;50677129.83470900;0;ETHEUR;2021-10-31
1635724800000;3722.79000000;3803.07000000;3603.53000000;3742.81;36065.68320000;1635811199999;134639997.08754100;141791;17796.53810000;66449353.75623900;0;ETHEUR;2021-11-01
1635811200000;3742.28000000;3976.47000000;3712.84000000;3966.53;30926.62742000;1635897599999;118748950.76727080;143675;15870.92572000;60970149.56027560;0;ETHEUR;2021-11-02
